response_id,submitted_at,program,school,volunteer_name,volunteer_email,employer,role_this_year,q1_overall_satisfaction,q2_would_recommend,q3_felt_prepared,q4_volunteer_again,q5_what_went_well,q6_what_could_improve,q7_anything_else,opt_in_contact
JA-24001,2025-12-28T13:45,JA Company Program,Wayne HS,Casey Dupree,casey.dupree@three.com,Three Rivers Credit Union,Classroom Volunteer,4,5,3,,Staff support was excellent.,More time with the students.,"If you're ever short someone last minute, I might be able to fill in.",Yes
JA-24002,2026-06-20T18:33,JA Career Speaker Series,Northrop HS,Yolanda Finnegan,yolanda.finnegan@allen.com,Allen Mutual Insurance,Event Volunteer,5,5,4,,The students were engaged.,Parking was a nightmare and no one met me at the door.,,
JA-24003,2026-02-27T11:02,JA Company Program,Memorial Park MS,Grant Finnegan,grant.finnegan@allen.com,Allen Mutual Insurance,Board/Committee Prospect,4,3,4,,Good structure.,n/a,Good,Yes
JA-24005,2025-12-11T17:36,JA Inspire,Shawnee MS,Simone Lindqvist,simone.lindqvist@northgate.com,Northgate Logistics,Board/Committee Prospect,3,3,2,Maybe,Loved the hands-on parts.,,Loved it. The curriculum was excellent and easy to follow.,Yes
JA-24006,2025-10-20T13:49,JA Finance Park,Jefferson MS,Aisha Thibodeaux,aisha.thibodeaux@northgate.com,Northgate Logistics,Classroom Volunteer,3,3,4,Yes,The materials were clear.,n/a,I had a lot of fun and I think the students got a lot out of it.,Yes
JA-24007,2025-12-17T17:24,JA Finance Park,Jefferson MS,Wes Kowalski,wes.kowalski@bluffton.com,Bluffton Steel Works,Event Volunteer,5,4,2,,Loved the hands-on parts.,Too much content for the time allotted. Felt rushed the whole time.,n/a,Yes
JA-24008,2026-04-21T15:59,JA BizTown,Snider HS,Naomi Thibodeaux,naomi.thibodeaux@maplewood.com,Maplewood Health Partners,Career Speaker,4,3,2,,The materials were clear.,-,Fine.,Yes
JA-24030,2026-05-26T12:28,JA Company Program,Snider HS,Aisha Devries,aisha.devries@ridgeline.com,Ridgeline Manufacturing,Event Volunteer,5,5,4,Yes,,Better printed materials. I'll still be back either way.,This was such a rewarding experience. The students were wonderful.,Yes
JA-24063,2026-06-20T13:46,JA in a Day,Leo JR/SR HS,Tomas Brennan,tomas.brennan@northgate.com,Northgate Logistics,Event Volunteer,5,5,3,Yes,The materials were clear.,Too much content for the time allotted. Felt rushed the whole time.,Please put me on the list for next year - same school if possible.,
JA-24072,2026-04-10T19:47,JA Inspire,Carroll MS,Brett Gutierrez,brett.gutierrez@foundry.com,Foundry Digital Agency,Board/Committee Prospect,5,5,4,Yes,Good structure.,It would help to pair new volunteers with experienced ones - I'd gladly mentor someone next year.,Fantastic program. The kids were so engaged the entire time.,
JA-24101,2026-05-28T19:05,JA Inspire,Lakeside MS,Talia Brennan,talia.brennan@cardinal.com,Cardinal Trust Bank,Board/Committee Prospect,4,4,5,Yes,Good structure.,Fine.,"Possibly next year, depending on my travel schedule.",Yes
JA-24108,2026-02-15T17:03,JA Career Speaker Series,Leo JR/SR HS,Brett Dupree,brett.dupree@summit.com,Summit Financial Group,Event Volunteer,4,5,4,Maybe,Staff support was excellent.,Good program.,"Possibly next year, depending on my travel schedule.",No
JA-24149,2026-01-18T18:33,JA in a Day,Shawnee MS,Devon Kowalski,devon.kowalski@cardinal.com,Cardinal Trust Bank,Event Volunteer,4,4,3,Maybe,The materials were clear.,,"If you're ever short someone last minute, I might be able to fill in.",Yes
JA-24152,2026-06-17T11:33,JA BizTown,Snider HS,Brett Vasquez,brett.vasquez@three.com,Three Rivers Credit Union,Board/Committee Prospect,5,5,4,Yes,The students were engaged.,I never received the training link. Had to wing it.,Put me down for all three sessions next year. This is the best thing we do.,Yes
JA-24161,2026-01-28T20:52,JA Inspire,Wayne HS,Andre Ulrich,andre.ulrich@foundry.com,Foundry Digital Agency,Board/Committee Prospect,4,5,3,Yes,The students were engaged.,The materials arrived late and I had to improvise the first hour.,Please put me on the list for next year - same school if possible.,
JA-24179,2025-12-14T16:13,JA Career Speaker Series,Blackhawk MS,Miles Thibodeaux,miles.thibodeaux@ridgeline.com,Ridgeline Manufacturing,Event Volunteer,4,5,3,Yes,Good structure.,Better printed materials. I'll still be back either way.,Really well run. Thank you for everything you do.,Yes
JA-24189,2026-02-28T20:26,JA Company Program,Shawnee MS,Sasha Marsh,sasha.marsh@bluffton.com,Bluffton Steel Works,Career Speaker,5,5,5,Yes,,Better printed materials. I'll still be back either way.,-,
JA-24198,2026-01-11T11:33,JA Career Speaker Series,Lakeside MS,Marcus Sandoval,marcus.sandoval@wabash.com,Wabash Valley Energy,Site Lead,5,5,5,Yes,,Better printed materials. I'll still be back either way.,Fine.,
JA-24225,2026-02-23T10:52,JA BizTown,Woodside MS,Aisha Jarrett,aisha.jarrett@maplewood.com,Maplewood Health Partners,Classroom Volunteer,4,5,3,Yes,Loved the hands-on parts.,"Send the deck earlier. Also, my firm would consider underwriting a school.",None,Yes
JA-24235,2026-06-16T09:15,JA Finance Park,Carroll MS,Priya Sandoval,priya.sandoval@ridgeline.com,Ridgeline Manufacturing,Board/Committee Prospect,4,4,4,Maybe,The students were engaged.,Good,"If you're ever short someone last minute, I might be able to fill in.",
JA-24240,2026-02-20T14:42,JA in a Day,Jefferson MS,Marcus Devries,marcus.devries@foundry.com,Foundry Digital Agency,Site Lead,5,5,4,Yes,Good structure.,More time with the students.,I want to sponsor a class next year. What does that cost?,Yes
JA-24241,2026-06-04T13:33,JA Company Program,Carroll MS,Bianca Nunez,bianca.nunez@summit.com,Summit Financial Group,Career Speaker,4,5,3,Yes,The students were engaged.,Fine.,Please put me on the list for next year - same school if possible.,Yes
JA-24274,2026-06-17T13:36,JA Company Program,Leo JR/SR HS,Simone Devries,simone.devries@bluffton.com,Bluffton Steel Works,Board/Committee Prospect,5,5,4,,The students were engaged.,None,"Count me in for next year, and I have two colleagues who want to join.",Yes
JA-24295,2025-10-05T08:18,JA BizTown,Snider HS,Bianca Jarrett,bianca.jarrett@northgate.com,Northgate Logistics,Classroom Volunteer,5,5,5,Yes,Staff support was excellent.,It would help to pair new volunteers with experienced ones - I'd gladly mentor someone next year.,What a great day. The students asked wonderful questions.,Yes
