response_id,submitted_at,program,school,volunteer_name,volunteer_email,employer,role_this_year,q1_overall_satisfaction,q2_would_recommend,q3_felt_prepared,q4_volunteer_again,q5_what_went_well,q6_what_could_improve,q7_anything_else,opt_in_contact
JA-24001,2025-12-28T13:45,JA Company Program,Wayne HS,Casey Dupree,casey.dupree@three.com,Three Rivers Credit Union,Classroom Volunteer,4,5,3,,Staff support was excellent.,More time with the students.,"If you're ever short someone last minute, I might be able to fill in.",Yes
JA-24002,2026-06-20T18:33,JA Career Speaker Series,Northrop HS,Yolanda Finnegan,yolanda.finnegan@allen.com,Allen Mutual Insurance,Event Volunteer,5,5,4,,The students were engaged.,Parking was a nightmare and no one met me at the door.,,
JA-24003,2026-02-27T11:02,JA Company Program,Memorial Park MS,Grant Finnegan,grant.finnegan@allen.com,Allen Mutual Insurance,Board/Committee Prospect,4,3,4,,Good structure.,n/a,Good,Yes
JA-24004,2025-11-18T09:49,JA Company Program,Leo JR/SR HS,Owen Zabel,owen.zabel@harrison.com,Harrison & Locke LLP,Career Speaker,4,5,4,Yes,Staff support was excellent.,Classroom management was a struggle and I did not feel supported.,I'd like to do more than one classroom next time. Please reach out in August.,
JA-24005,2025-12-11T17:36,JA Inspire,Shawnee MS,Simone Lindqvist,simone.lindqvist@northgate.com,Northgate Logistics,Board/Committee Prospect,3,3,2,Maybe,Loved the hands-on parts.,,Loved it. The curriculum was excellent and easy to follow.,Yes
JA-24006,2025-10-20T13:49,JA Finance Park,Jefferson MS,Aisha Thibodeaux,aisha.thibodeaux@northgate.com,Northgate Logistics,Classroom Volunteer,3,3,4,Yes,The materials were clear.,n/a,I had a lot of fun and I think the students got a lot out of it.,Yes
JA-24007,2025-12-17T17:24,JA Finance Park,Jefferson MS,Wes Kowalski,wes.kowalski@bluffton.com,Bluffton Steel Works,Event Volunteer,5,4,2,,Loved the hands-on parts.,Too much content for the time allotted. Felt rushed the whole time.,n/a,Yes
JA-24008,2026-04-21T15:59,JA BizTown,Snider HS,Naomi Thibodeaux,naomi.thibodeaux@maplewood.com,Maplewood Health Partners,Career Speaker,4,3,2,,The materials were clear.,-,Fine.,Yes
JA-24009,2025-11-23T13:46,JA Career Speaker Series,Blackhawk MS,Jordan Ellsworth,jordan.ellsworth@maplewood.com,Maplewood Health Partners,Classroom Volunteer,3,3,4,Yes,Good structure.,Nothing to add,Excellent experience from start to finish.,Yes
JA-24010,2025-11-03T17:16,JA Company Program,Leo JR/SR HS,Marcus Petrosyan,marcus.petrosyan@allen.com,Allen Mutual Insurance,Classroom Volunteer,4,5,4,Maybe,Staff support was excellent.,I never received the training link. Had to wing it.,Very impressed with the organization and the materials.,
JA-24011,2026-02-08T15:48,JA Inspire,Leo JR/SR HS,Talia Ulrich,talia.ulrich@cardinal.com,Cardinal Trust Bank,Event Volunteer,4,5,4,Yes,Staff support was excellent.,Good program.,Is there a way to get involved beyond the classroom? I have the time and I'd like to help.,No
JA-24012,2025-12-31T18:28,JA Career Speaker Series,Woodside MS,Brett Ellsworth,brett.ellsworth@wabash.com,Wabash Valley Energy,Event Volunteer,4,5,3,Yes,Loved the hands-on parts.,Good,Our company is looking for a signature community partnership. Please call me.,Yes
JA-24013,2026-01-10T08:17,JA Company Program,Memorial Park MS,Yolanda Ulrich,yolanda.ulrich@foundry.com,Foundry Digital Agency,Career Speaker,4,3,5,,,None,No comment,Yes
JA-24014,2025-11-08T08:02,JA in a Day,Leo JR/SR HS,Alexis Yeager,alexis.yeager@ridgeline.com,Ridgeline Manufacturing,Board/Committee Prospect,5,3,3,,The materials were clear.,Classroom management was a struggle and I did not feel supported.,,
JA-24015,2026-02-08T21:30,JA Inspire,Carroll MS,Jordan Jarrett,jordan.jarrett@cardinal.com,Cardinal Trust Bank,Event Volunteer,3,3,2,No,The materials were clear.,,,
JA-24016,2025-11-07T09:46,JA BizTown,Leo JR/SR HS,Simone Zabel,simone.zabel@summit.com,Summit Financial Group,Classroom Volunteer,4,5,2,,The materials were clear.,Fine.,,Yes
JA-24017,2026-06-01T09:15,JA in a Day,Leo JR/SR HS,Lucia Marsh,lucia.marsh@kestrel.com,Kestrel Engineering,Career Speaker,3,4,2,Maybe,Staff support was excellent.,Too much content for the time allotted. Felt rushed the whole time.,n/a,Yes
JA-24018,2025-10-09T09:41,JA Finance Park,Shawnee MS,Renee Reyes,renee.reyes@foundry.com,Foundry Digital Agency,Event Volunteer,4,5,2,,Staff support was excellent.,n/a,,Yes
JA-24019,2026-06-23T08:36,JA Finance Park,Snider HS,Brett Quintero,brett.quintero@summit.com,Summit Financial Group,Board/Committee Prospect,5,3,2,Maybe,The materials were clear.,More time with the students.,"Great program, great kids, great day all around.",Yes
JA-24020,2026-02-01T15:01,JA Company Program,Wayne HS,Jordan Escobar,jordan.escobar@harrison.com,Harrison & Locke LLP,Classroom Volunteer,2,1,2,,,Too much content for the time allotted. Felt rushed the whole time.,Parking was a nightmare and no one met me at the door.,Yes
JA-24021,2026-04-29T07:41,JA in a Day,Carroll MS,Grant Hollis,grant.hollis@wabash.com,Wabash Valley Energy,Site Lead,5,3,3,Maybe,,I was scheduled for a grade level I wasn't prepared for.,None,Yes
JA-24022,2026-03-20T20:50,JA BizTown,Shawnee MS,Grant Nunez,grant.nunez@maplewood.com,Maplewood Health Partners,Site Lead,4,3,5,Maybe,Good structure.,,"Depends on work, but keep me on the email list.",
JA-24023,2026-05-26T21:46,JA Company Program,Homestead HS,Marcus Chandra,marcus.chandra@wabash.com,Wabash Valley Energy,Board/Committee Prospect,4,3,5,,Loved the hands-on parts.,Fine.,None,
JA-24024,2026-04-10T15:19,JA Finance Park,Northrop HS,Devon Ashby,devon.ashby@wabash.com,Wabash Valley Energy,Board/Committee Prospect,3,5,4,Maybe,,n/a,Loved it. The curriculum was excellent and easy to follow.,Yes
JA-24025,2025-12-05T21:30,JA Company Program,Carroll MS,Devon Chandra,devon.chandra@allen.com,Allen Mutual Insurance,Career Speaker,5,4,5,Yes,The students were engaged.,Nothing to add,Very impressed with the organization and the materials.,Yes
JA-24026,2026-03-21T15:36,JA Finance Park,Northrop HS,Simone Sandoval,simone.sandoval@northgate.com,Northgate Logistics,Event Volunteer,4,5,5,,The materials were clear.,Too much content for the time allotted. Felt rushed the whole time.,Our company is looking for a signature community partnership. Please call me.,Yes
JA-24027,2025-12-10T09:08,JA Company Program,Lakeside MS,Marcus Vasquez,marcus.vasquez@three.com,Three Rivers Credit Union,Board/Committee Prospect,5,5,2,,Loved the hands-on parts.,I never received the training link. Had to wing it.,Nothing to add,
JA-24028,2025-12-15T09:24,JA in a Day,Shawnee MS,Aisha Petrosyan,aisha.petrosyan@cardinal.com,Cardinal Trust Bank,Career Speaker,3,4,4,Maybe,Good structure.,Classroom management was a struggle and I did not feel supported.,Let me know when registration opens and I'll see where things stand.,Yes
JA-24029,2026-04-08T19:48,JA BizTown,Shawnee MS,Pierre Brennan,pierre.brennan@northgate.com,Northgate Logistics,Site Lead,3,3,2,Maybe,,N/A,The staff were amazing and the students were a joy to work with.,Yes
JA-24030,2026-05-26T12:28,JA Company Program,Snider HS,Aisha Devries,aisha.devries@ridgeline.com,Ridgeline Manufacturing,Event Volunteer,5,5,4,Yes,,Better printed materials. I'll still be back either way.,This was such a rewarding experience. The students were wonderful.,Yes
JA-24031,2025-10-12T17:33,JA BizTown,Woodside MS,Jordan Castellano,jordan.castellano@three.com,Three Rivers Credit Union,Board/Committee Prospect,4,3,2,,,n/a,No comment,Yes
JA-24032,2025-11-02T18:46,JA in a Day,Northrop HS,Nate Zabel,nate.zabel@kestrel.com,Kestrel Engineering,Classroom Volunteer,3,3,3,Yes,Staff support was excellent.,Fine.,,Yes
JA-24033,2025-10-18T13:56,JA Inspire,Leo JR/SR HS,Owen Fowler,owen.fowler@northgate.com,Northgate Logistics,Classroom Volunteer,5,4,2,,Staff support was excellent.,Nothing - it was well organized.,Nothing to add,Yes
JA-24034,2025-11-09T07:25,JA Company Program,Northrop HS,Greta Ikeda,greta.ikeda@summit.com,Summit Financial Group,Classroom Volunteer,4,5,3,Maybe,,None,I'd like to do more than one classroom next time. Please reach out in August.,Yes
JA-24035,2026-01-15T20:51,JA Finance Park,Woodside MS,Alexis Escobar,alexis.escobar@northgate.com,Northgate Logistics,Site Lead,4,4,5,,The students were engaged.,Good,,Yes
JA-24036,2026-03-01T21:09,JA Company Program,Carroll MS,Grant Brennan,grant.brennan@foundry.com,Foundry Digital Agency,Event Volunteer,5,4,4,Maybe,Good structure.,N/A,Maybe in the spring - fall is hard for me.,Yes
JA-24037,2026-03-31T13:10,JA BizTown,Wayne HS,Miles Quintero,miles.quintero@bluffton.com,Bluffton Steel Works,Board/Committee Prospect,1,2,1,Maybe,Good structure.,Good program.,Classroom management was a struggle and I did not feel supported.,Yes
JA-24038,2025-10-06T13:27,JA Company Program,Carroll MS,Brett Chandra,brett.chandra@foundry.com,Foundry Digital Agency,Board/Committee Prospect,4,3,2,,Good structure.,I never received the training link. Had to wing it.,What a great day. The students asked wonderful questions.,Yes
JA-24039,2025-12-31T10:17,JA in a Day,Wayne HS,Hana Finnegan,hana.finnegan@harrison.com,Harrison & Locke LLP,Classroom Volunteer,5,4,2,,Good structure.,Fine.,What a great day. The students asked wonderful questions.,Yes
JA-24040,2026-04-26T11:16,JA BizTown,Wayne HS,Miles Vasquez,miles.vasquez@kestrel.com,Kestrel Engineering,Career Speaker,4,5,4,,,More time with the students.,Reach out in a few months and I might have more capacity then.,No
JA-24041,2026-01-27T21:26,JA Career Speaker Series,Northrop HS,Reggie Escobar,reggie.escobar@northgate.com,Northgate Logistics,Classroom Volunteer,2,2,3,No,The students were engaged.,Parking was a nightmare and no one met me at the door.,Classroom management was a struggle and I did not feel supported.,
JA-24042,2026-03-29T07:28,JA Career Speaker Series,Lakeside MS,Tomas Kowalski,tomas.kowalski@wabash.com,Wabash Valley Energy,Classroom Volunteer,5,5,2,No,Staff support was excellent.,N/A,"Great program, great kids, great day all around.",Yes
JA-24043,2025-09-09T14:31,JA Career Speaker Series,Leo JR/SR HS,Alexis Marsh,alexis.marsh@wabash.com,Wabash Valley Energy,Classroom Volunteer,3,5,5,,Good structure.,I was scheduled for a grade level I wasn't prepared for.,Best volunteer experience I've had in years.,Yes
JA-24044,2025-12-18T12:08,JA Inspire,Blackhawk MS,Nate Alvarez,nate.alvarez@wabash.com,Wabash Valley Energy,Career Speaker,1,1,2,,,Parking was a nightmare and no one met me at the door.,The materials arrived late and I had to improvise the first hour.,Yes
JA-24045,2025-12-25T17:19,JA Finance Park,Blackhawk MS,Alexis Petrosyan,alexis.petrosyan@cardinal.com,Cardinal Trust Bank,Event Volunteer,3,4,3,Maybe,Staff support was excellent.,None,Reach out in a few months and I might have more capacity then.,No
JA-24046,2026-04-30T13:37,JA Company Program,Snider HS,Talia Yeager,talia.yeager@kestrel.com,Kestrel Engineering,Career Speaker,3,5,5,Yes,Loved the hands-on parts.,No comment,Wonderful. Thank you for the opportunity.,No
JA-24047,2026-02-03T13:11,JA in a Day,Memorial Park MS,Reggie Sandoval,reggie.sandoval@foundry.com,Foundry Digital Agency,Event Volunteer,3,4,2,,The materials were clear.,Good program.,Excellent experience from start to finish.,
JA-24048,2026-06-12T14:38,JA Career Speaker Series,Homestead HS,Brett Thibodeaux,brett.thibodeaux@cardinal.com,Cardinal Trust Bank,Event Volunteer,4,3,5,Yes,Loved the hands-on parts.,,Very impressed with the organization and the materials.,
JA-24049,2025-12-08T11:54,JA Career Speaker Series,Blackhawk MS,Yolanda Boone,yolanda.boone@summit.com,Summit Financial Group,Site Lead,3,5,5,Maybe,The materials were clear.,Nothing - it was well organized.,Would think about it if there were a shorter commitment option.,No
JA-24050,2026-02-22T20:03,JA Career Speaker Series,Lakeside MS,Sasha Kowalski,sasha.kowalski@maplewood.com,Maplewood Health Partners,Career Speaker,4,5,3,Maybe,,-,Fine.,Yes
JA-24051,2026-03-02T21:35,JA Company Program,Northrop HS,Naomi Gutierrez,naomi.gutierrez@cardinal.com,Cardinal Trust Bank,Board/Committee Prospect,3,3,4,Yes,Loved the hands-on parts.,n/a,Best volunteer experience I've had in years.,Yes
JA-24052,2026-03-25T16:02,JA Career Speaker Series,Lakeside MS,Erin Vasquez,erin.vasquez@ridgeline.com,Ridgeline Manufacturing,Career Speaker,4,4,3,,Staff support was excellent.,Classroom management was a struggle and I did not feel supported.,n/a,Yes
JA-24053,2026-02-20T14:01,JA BizTown,Shawnee MS,Renee Yeager,renee.yeager@wabash.com,Wabash Valley Energy,Career Speaker,3,3,3,Yes,,-,N/A,Yes
JA-24054,2025-10-15T14:53,JA Finance Park,Woodside MS,Bianca Quintero,bianca.quintero@foundry.com,Foundry Digital Agency,Site Lead,5,5,2,,Staff support was excellent.,-,Good program.,
JA-24055,2025-10-12T20:35,JA Inspire,Jefferson MS,Yolanda Marsh,yolanda.marsh@northgate.com,Northgate Logistics,Classroom Volunteer,4,5,5,Maybe,The students were engaged.,I was scheduled for a grade level I wasn't prepared for.,Would think about it if there were a shorter commitment option.,Yes
JA-24056,2026-02-22T09:37,JA Inspire,Homestead HS,Casey Ikeda,casey.ikeda@northgate.com,Northgate Logistics,Event Volunteer,3,5,2,,,Fine.,I had a lot of fun and I think the students got a lot out of it.,Yes
JA-24057,2026-03-12T14:37,JA Company Program,Woodside MS,Priya Brennan,priya.brennan@wabash.com,Wabash Valley Energy,Career Speaker,3,4,5,,Staff support was excellent.,Classroom management was a struggle and I did not feel supported.,Loved it. The curriculum was excellent and easy to follow.,No
JA-24058,2026-01-06T20:08,JA Inspire,Northrop HS,Marcus Brennan,marcus.brennan@kestrel.com,Kestrel Engineering,Board/Committee Prospect,3,4,3,,Good structure.,No comment,Let me know when registration opens and I'll see where things stand.,Yes
JA-24059,2025-10-29T08:29,JA in a Day,Shawnee MS,Colin Ikeda,colin.ikeda@harrison.com,Harrison & Locke LLP,Classroom Volunteer,3,4,3,Maybe,,Good,Loved it. The curriculum was excellent and easy to follow.,Yes
JA-24060,2026-01-16T14:41,JA Company Program,Lakeside MS,Alexis Vasquez,alexis.vasquez@maplewood.com,Maplewood Health Partners,Site Lead,1,3,1,Maybe,Loved the hands-on parts.,I was scheduled for a grade level I wasn't prepared for.,I never received the training link. Had to wing it.,Yes
JA-24061,2026-06-27T10:01,JA Career Speaker Series,Memorial Park MS,Wes Petrosyan,wes.petrosyan@foundry.com,Foundry Digital Agency,Career Speaker,4,5,4,Yes,The students were engaged.,Too much content for the time allotted. Felt rushed the whole time.,I'd like to do more than one classroom next time. Please reach out in August.,Yes
JA-24062,2026-03-06T11:52,JA BizTown,Leo JR/SR HS,Bianca Fowler,bianca.fowler@maplewood.com,Maplewood Health Partners,Event Volunteer,5,5,5,Yes,,Nothing to add,Loved it. The curriculum was excellent and easy to follow.,No
JA-24063,2026-06-20T13:46,JA in a Day,Leo JR/SR HS,Tomas Brennan,tomas.brennan@northgate.com,Northgate Logistics,Event Volunteer,5,5,3,Yes,The materials were clear.,Too much content for the time allotted. Felt rushed the whole time.,Please put me on the list for next year - same school if possible.,
JA-24064,2025-09-29T17:10,JA Finance Park,Wayne HS,Talia Whitfield,talia.whitfield@bluffton.com,Bluffton Steel Works,Site Lead,5,3,5,,Good structure.,,Fantastic program. The kids were so engaged the entire time.,
JA-24065,2026-06-10T17:38,JA in a Day,Memorial Park MS,Miles Finnegan,miles.finnegan@harrison.com,Harrison & Locke LLP,Career Speaker,5,5,3,Yes,Good structure.,Nothing - it was well organized.,Please add me to your speaker list - I can do a career day at any school.,No
JA-24066,2025-09-04T11:32,JA in a Day,Jefferson MS,Reggie Ashby,reggie.ashby@summit.com,Summit Financial Group,Classroom Volunteer,5,4,3,Yes,,N/A,Nothing to add,Yes
JA-24067,2025-12-27T21:34,JA BizTown,Carroll MS,Aisha Okafor,aisha.okafor@kestrel.com,Kestrel Engineering,Career Speaker,3,5,3,Maybe,Staff support was excellent.,,n/a,No
JA-24068,2026-01-16T19:48,JA Career Speaker Series,Woodside MS,Renee Lindqvist,renee.lindqvist@summit.com,Summit Financial Group,Site Lead,3,5,2,,Staff support was excellent.,I never received the training link. Had to wing it.,Fine.,No
JA-24069,2026-04-26T16:41,JA Company Program,Leo JR/SR HS,Talia Marsh,talia.marsh@wabash.com,Wabash Valley Energy,Event Volunteer,4,5,5,Yes,Good structure.,Good program.,"Depends on work, but keep me on the email list.",
JA-24070,2025-09-17T07:27,JA BizTown,Jefferson MS,Greta Zabel,greta.zabel@maplewood.com,Maplewood Health Partners,Board/Committee Prospect,3,5,5,Maybe,The materials were clear.,The materials arrived late and I had to improvise the first hour.,Best volunteer experience I've had in years.,
JA-24071,2026-01-15T17:50,JA in a Day,Shawnee MS,Yolanda Chandra,yolanda.chandra@three.com,Three Rivers Credit Union,Site Lead,3,3,3,Maybe,Loved the hands-on parts.,Good program.,Parking was a nightmare and no one met me at the door.,
JA-24072,2026-04-10T19:47,JA Inspire,Carroll MS,Brett Gutierrez,brett.gutierrez@foundry.com,Foundry Digital Agency,Board/Committee Prospect,5,5,4,Yes,Good structure.,It would help to pair new volunteers with experienced ones - I'd gladly mentor someone next year.,Fantastic program. The kids were so engaged the entire time.,
JA-24073,2026-02-17T19:06,JA Finance Park,Wayne HS,Greta Ulrich,greta.ulrich@bluffton.com,Bluffton Steel Works,Board/Committee Prospect,5,5,4,Yes,Loved the hands-on parts.,None,Fantastic program. The kids were so engaged the entire time.,
JA-24074,2025-09-27T15:51,JA Finance Park,Leo JR/SR HS,Yolanda Devries,yolanda.devries@maplewood.com,Maplewood Health Partners,Career Speaker,5,4,3,Yes,Good structure.,n/a,Excellent experience from start to finish.,Yes
JA-24075,2025-09-02T11:58,JA BizTown,Snider HS,Mei Alvarez,mei.alvarez@bluffton.com,Bluffton Steel Works,Event Volunteer,3,3,4,,Loved the hands-on parts.,None,This was such a rewarding experience. The students were wonderful.,Yes
JA-24076,2025-11-02T13:12,JA Inspire,Memorial Park MS,Grant Ikeda,grant.ikeda@three.com,Three Rivers Credit Union,Career Speaker,5,3,5,Maybe,The materials were clear.,The materials arrived late and I had to improvise the first hour.,"If you're ever short someone last minute, I might be able to fill in.",Yes
JA-24077,2026-05-14T16:33,JA Inspire,Jefferson MS,Priya Escobar,priya.escobar@harrison.com,Harrison & Locke LLP,Event Volunteer,4,3,3,,Good structure.,Good,,Yes
JA-24078,2026-05-04T09:20,JA in a Day,Shawnee MS,Casey Whitfield,casey.whitfield@allen.com,Allen Mutual Insurance,Event Volunteer,3,3,5,,The materials were clear.,No comment,-,
JA-24079,2025-09-16T17:54,JA Career Speaker Series,Memorial Park MS,Hana Zabel,hana.zabel@three.com,Three Rivers Credit Union,Site Lead,3,3,4,Yes,Staff support was excellent.,,"Possibly next year, depending on my travel schedule.",Yes
JA-24080,2025-09-22T16:17,JA BizTown,Jefferson MS,Owen Ellsworth,owen.ellsworth@allen.com,Allen Mutual Insurance,Career Speaker,3,3,3,Maybe,The materials were clear.,,Maybe in the spring - fall is hard for me.,
JA-24081,2026-01-21T17:52,JA Finance Park,Northrop HS,Tomas Reyes,tomas.reyes@cardinal.com,Cardinal Trust Bank,Site Lead,2,1,1,Maybe,The materials were clear.,Good,The materials arrived late and I had to improvise the first hour.,No
JA-24082,2026-03-08T18:09,JA in a Day,Homestead HS,Casey Hollis,casey.hollis@harrison.com,Harrison & Locke LLP,Board/Committee Prospect,3,4,3,Maybe,,Classroom management was a struggle and I did not feel supported.,Very impressed with the organization and the materials.,
JA-24083,2026-05-13T17:13,JA BizTown,Shawnee MS,Erin Escobar,erin.escobar@maplewood.com,Maplewood Health Partners,Career Speaker,5,3,5,Maybe,Loved the hands-on parts.,More time with the students.,Good,Yes
JA-24084,2026-01-13T13:32,JA Inspire,Homestead HS,Jordan Vasquez,jordan.vasquez@bluffton.com,Bluffton Steel Works,Event Volunteer,3,3,4,Maybe,,No comment,"Possibly next year, depending on my travel schedule.",Yes
JA-24085,2025-09-04T13:41,JA Inspire,Snider HS,Yolanda Hollis,yolanda.hollis@cardinal.com,Cardinal Trust Bank,Career Speaker,5,3,4,Maybe,The students were engaged.,Good,Fine.,
JA-24086,2025-11-23T10:53,JA Career Speaker Series,Carroll MS,Mei Escobar,mei.escobar@harrison.com,Harrison & Locke LLP,Career Speaker,5,4,3,Maybe,,,Would think about it if there were a shorter commitment option.,Yes
JA-24087,2026-06-09T11:17,JA Inspire,Memorial Park MS,Alexis Zabel,alexis.zabel@allen.com,Allen Mutual Insurance,Site Lead,4,4,4,,Staff support was excellent.,Too much content for the time allotted. Felt rushed the whole time.,Fine.,No
JA-24088,2026-01-14T16:42,JA Inspire,Carroll MS,Tomas Ulrich,tomas.ulrich@kestrel.com,Kestrel Engineering,Board/Committee Prospect,3,4,4,Yes,The materials were clear.,,"Possibly next year, depending on my travel schedule.",
JA-24089,2026-03-28T12:06,JA BizTown,Leo JR/SR HS,Miles Ashby,miles.ashby@bluffton.com,Bluffton Steel Works,Career Speaker,3,4,2,Yes,The students were engaged.,Good program.,,Yes
JA-24090,2026-02-14T19:53,JA Company Program,Memorial Park MS,Mei Gutierrez,mei.gutierrez@summit.com,Summit Financial Group,Career Speaker,4,3,5,Maybe,Staff support was excellent.,Nothing to add,"Depends on work, but keep me on the email list.",Yes
JA-24091,2025-11-01T17:50,JA Career Speaker Series,Northrop HS,Dana Whitfield,dana.whitfield@allen.com,Allen Mutual Insurance,Event Volunteer,2,3,1,No,The students were engaged.,The materials arrived late and I had to improvise the first hour.,I never received the training link. Had to wing it.,Yes
JA-24092,2026-04-14T17:51,JA Career Speaker Series,Shawnee MS,Miles Nunez,miles.nunez@cardinal.com,Cardinal Trust Bank,Board/Committee Prospect,4,3,3,,The materials were clear.,Nothing to add,,Yes
JA-24093,2026-05-16T16:56,JA Inspire,Lakeside MS,Mei Quintero,mei.quintero@ridgeline.com,Ridgeline Manufacturing,Classroom Volunteer,2,3,3,Maybe,Good structure.,Classroom management was a struggle and I did not feel supported.,I never received the training link. Had to wing it.,Yes
